,分词,计数
9909,少,17
10271,冲突,17
307,猜,16
440,雷,16
842,出彩,16
1203,超出,16
1291,事情,16
1293,奶奶,16
1490,这片,16
1772,一句,16
2093,主创,16
2122,女,16
4075,家人,16
4417,改编,16
4857,哈哈哈哈,16
5866,现场,16
5966,不用,16
6029,表面,16
6900,依旧,16
7133,有意思,16
7176,背景,16
7412,演得,16
8230,低,16
8613,发挥,16
9045,张译,16
9109,更是,16
9176,跑,16
9216,解构,16
9309,难看,16
10362,男主角,16
200,类似,15
219,代入,15
271,差,15
386,经典,15
761,完成度,15
970,爆笑,15
1100,全场,15
1259,带来,15
1296,想起,15
2021,升华,15
2053,外省,15
2566,想要,15
3070,程度,15
3347,之外,15
3541,版,15
3815,剧,15
4338,熟悉,15
4751,缺点,15
5013,未来,15
5058,样子,15
5229,片名,15
5247,常远,15
5537,正,15
5656,行,15
5875,密室,15
6316,低级,15
6544,多年,15
6874,艺术,15
7118,字幕,15
7333,烟火,15
7676,豆瓣,15
8022,总体,15
8231,核心,15
8544,立意,15
9005,不太,15
9186,大赛,15
9291,越来越,15
9451,泪,15
9499,身份,15
9926,好好,15
10142,完美,15
10233,公路,15
10520,泪点,15
313,形象,14
383,制作,14
435,非,14
658,买,14
1106,肯定,14
1856,假,14
1911,漂亮,14
2596,问,14
2643,想到,14
2898,春晚,14
2995,戏份,14
3263,烊,14
3338,亲情,14
3408,主演,14
3543,刻板,14
3599,动人,14
3619,民俗,14
3641,长,14
3799,成本,14
4468,团队,14
4490,年轻人,14
4497,可乐,14
5212,完整,14
5260,接地,14
5486,看得,14
5764,勉强,14
6219,足够,14
6261,住,14
6547,强,14
6774,每次,14
7300,融合,14
7986,力量,14
8069,戏里,14
8137,支持,14
8211,铺垫,14
8495,梦,14
8733,打戏,14
9439,技巧,14
9508,态度,14
9630,笑声,14
9723,唯一,14
9855,厉害,14
9988,深圳,14
10632,搞,14
373,场,13
700,真挚,13
1315,父母,13
1319,请,13
1376,商业片,13
1438,那场,13
1592,浪费,13
1649,思想,13
2117,逐梦,13
2179,网大,13
2413,如坐针毡,13
2518,台,13
2580,思考,13
2831,武行,13
2926,戏剧,13
2984,价值观,13
3032,活着,13
3337,名字,13
3736,融入,13
3841,制造,13
3994,脸,13
4403,哈哈哈,13
4732,低俗,13
5041,丽妃,13
5064,老,13
5170,用心,13
5243,错位,13
5444,原作,13
6063,触动,13
6072,那句,13
6118,发现,13
6373,追求,13
6767,霸凌,13
6788,无论是,13
6870,热血,13
7124,片场,13
7126,逃脱,13
7319,动机,13
7519,客串,13
7993,估计,13
8102,易,13
9181,当年,13
9472,兽,13
9679,段,13
10125,突兀,13
10357,话题,13
10385,和解,13
10413,梁龙,13
10638,不算,13
197,跑断腿,12
278,一群,12
614,热爱,12
667,感谢,12
1204,明明,12
1414,浪漫,12
1491,回,12
1903,潮汕人,12
2056,媳妇,12
2326,保护,12
2404,所有人,12
2540,开场,12
2545,心,12
2626,前半段,12
2862,缺乏,12
2886,英雄,12
3093,结束,12
3174,丢,12
3298,吉祥如意,12
3415,悲剧,12
3905,舞台,12
3968,空间,12
4102,遗憾,12
4164,贡献,12
4221,塑造,12
4285,底层,12
4326,汕头,12
4453,抱,12
4609,廉价,12
4855,至少,12
5074,网暴,12
5620,跟着,12
5742,花,12
5851,深刻,12
5910,人间,12
6276,半小时,12
6461,听到,12
6485,国产片,12
6688,谢谢,12
7253,很棒,12
7438,朴素,12
8245,封建,12
8438,东北,12
8479,概念,12
8705,动作片,12
8834,女演员,12
9004,好评,12
9333,职业,12
9358,元,12
9737,素人,12
10181,也许,12
10279,相比,12
10494,三,12
297,一颗,11
541,感人,11
617,手机,11
877,开头,11
957,拉,11
994,影视,11
1002,梦想,11
1141,演出,11
1369,成熟,11
1372,搭,11
1498,路演,11
1525,快乐,11
1752,男性,11
1870,共鸣,11
2140,鬼片,11
2252,市场,11
2420,周,11
2498,拼,11
2711,超级,11
3074,讲述,11
3615,很难,11
3654,能量,11
3789,喜剧电影,11
3939,荒诞,11
4167,年代,11
4261,两,11
4546,加一星,11
4587,蒋易,11
4614,轻松,11
4635,影迷,11
4640,剪辑,11
4677,泪目,11
5248,内心,11
5294,五一,11
5468,演戏,11
5476,无厘头,11
5495,味道,11
5609,告诉,11
5824,四个,11
5828,媒体,11
5904,制片人,11
5943,打破,11
5944,莫名其妙,11
6176,精彩,11
6227,不到,11
6347,性,11
6459,原版,11
6691,此片,11
7108,ps,11
7160,评分,11
7167,说教,11
7207,平庸,11
7368,手法,11
7424,镖客,11
8480,首映,11
8497,好多,11
8690,内地,11
9009,大陆,11
9702,瞬间,11
9726,虚构,11
9838,设置,11
10246,合格,11
10253,极致,11
10384,明星,11
10459,父女情,11
10488,虚假,11
190,充斥,10
291,拧,10
490,正义,10
952,幸喜,10
1053,之作,10
1064,够,10
1289,人设,10
1298,离谱,10
1354,优点,10
1781,华语,10
1869,创作者,10
1965,字,10
2464,典型,10
2718,看得出,10
2754,放弃,10
2768,热点,10
2835,工具,10
3332,用力,10
3508,舞台剧,10
3539,演艺圈,10
3562,卖,10
3589,最佳,10
3637,只会,10
3699,碰撞,10
3768,岳飞,10
3836,吵架,10
3838,喜剧效果,10
3977,送,10
4056,励志,10
4076,伪,10
4244,放,10
4420,想法,10
4661,明白,10
4733,议题,10
4991,流言,10
5079,直播,10
5372,逼,10
5540,恰到好处,10
5551,不该,10
5610,变化,10
5665,反复,10
