,分词,计数
11994,熊出没,66
12375,价值,66
16951,俩,66
17071,剧版,66
23758,经典,66
25218,英雄,66
4405,身上,65
5700,低,65
10220,语言,65
12126,出戏,65
13277,尝试,65
13427,第一部,65
13774,人设,65
14340,请,65
19180,一句,65
21339,未来,65
21996,流畅,65
26922,难,65
5274,儿子,64
5446,见,64
6852,完成度,64
7648,充满,64
10306,罗生门,64
22795,体验,64
23284,原著,64
1063,逼,63
1876,支持,63
10058,传统,63
10294,点映,63
16787,想到,63
17375,真诚,63
19539,魏翔,63
23875,纸人,63
23877,及格,63
25070,复仇,63
2103,女人,62
6589,拍摄,62
12169,超级,62
13519,经历,62
15533,系列,62
21424,两人,62
27012,文艺,62
3124,合格,61
4427,讲述,61
6186,沈腾,61
6457,短,61
6990,气质,61
7726,段落,61
8633,超出,61
8750,程耳,61
11559,不用,61
12550,小人物,61
16618,看得,61
16693,美好,61
22272,光,61
25827,十年,61
27030,马丽,61
88,拉,60
622,化,60
1051,打戏,60
4137,放在,60
11583,身份,60
18445,!,60
21637,明明,60
2247,总体,59
13693,人性,59
18944,饰演,59
20605,主旋律,59
20926,代入,59
25618,总,59
6337,深刻,58
6474,影响,58
9728,矛盾,58
13221,南河,58
15991,恶心,58
18779,工作,58
21449,机甲,58
22065,审美,58
23019,太多,58
24909,一颗,58
26599,仿佛,58
28651,为啥,58
298,武侠,57
6417,如坐针毡,57
6478,抑郁症,57
7486,男性,57
12177,长,57
13736,演得,57
15083,足够,57
19400,声音,57
25280,王家卫,57
26967,跑,57
572,细腻,56
1594,越,56
3370,宣传,56
3802,道,56
7104,越来越,56
8740,剧作,56
10726,父亲,56
14761,优秀,56
19395,商业片,56
23887,吓人,56
25883,讨厌,56
27440,更是,56
229,配角,55
2498,满江红,55
2587,熟悉,55
5297,荧幕,55
6973,离谱,55
8984,马凯,55
10404,路,55
10729,是因为,55
11572,够,55
13075,刘青云,55
16600,形象,55
20871,幽默,55
24245,豆瓣,55
271,时刻,54
657,牺牲,54
9602,片尾,54
11324,全是,54
11367,兄弟,54
14339,拍出,54
18580,事情,54
19245,名字,54
20490,推进,54
21174,检察官,54
23582,铺垫,54
24078,很难,54
25907,回廊,54
27724,配音,54
3030,找到,53
3494,奇怪,53
5738,升华,53
6304,味道,53
8286,好多,53
8969,美术,53
9672,情侣,53
13961,正道,53
15488,梦,53
15543,感人,53
22051,妈,53
22202,女生,53
24799,缺点,53
1534,片名,52
1724,影帝,52
3275,想起,52
5261,刺激,52
9102,单薄,52
10363,黄景,52
11531,温情,52
13773,刻画,52
19186,不太,52
27716,谢苗,52
2698,成熟,51
2898,剧组,51
6613,市场,51
6615,展开,51
7248,抱,51
8384,概念,51
11270,发挥,51
15684,bug,51
17908,主创,51
19670,每次,51
21302,魏,51
24959,发生,51
25600,角度,51
125,环境,50
215,开场,50
446,评分,50
4443,主线,50
8455,瑜,50
9755,营造,50
11864,范丞丞,50
16098,疫情,50
17285,告诉,50
17904,很棒,50
19467,粉丝,50
19955,20,50
21595,流量,50
23287,两位,50
24823,出彩,50
26194,放弃,50
26989,小孩,50
2331,周迅,49
4502,心,49
4656,亮点,49
5406,上海,49
5882,全靠,49
7233,傻,49
8816,那场,49
19436,表面,49
24385,问,49
25131,非,49
27029,优点,49
27421,不算,49
28653,小说,49
993,很大,48
1142,矫情,48
1632,打磨,48
2030,打动,48
7185,四星,48
8566,吸引,48
10265,变得,48
12544,枪战,48
13147,飞宇,48
13757,两星,48
14925,全员,48
15829,技术,48
15851,夜晚,48
17024,影子,48
17204,飞机,48
22905,泪点,48
24610,日本,48
25684,岁,48
27464,重男轻女,48
28566,3.5,48
90,游记,47
2665,相比,47
4451,好莱坞,47
5697,治愈,47
6512,陪,47
7257,月球,47
8312,汕头,47
9350,杀人,47
9435,校园,47
10369,陈伟霆,47
10930,救赎,47
12144,暴力,47
14639,艺术,47
14867,延续,47
15755,状态,47
