,分词,计数
6244,嫌疑人,15
6481,讲究,15
6925,审美,15
7252,讲故事,15
7594,日本,15
7908,抓,15
8025,玩,15
8857,奇怪,15
8893,本子,15
8906,疯批,15
9228,方式,15
70,推荐,14
285,刻意,14
872,过程,14
1053,发生,14
1218,打乱,14
1392,新,14
1828,所有人,14
2017,重男轻女,14
2411,及格,14
2532,版,14
2701,连环,14
3152,哭,14
3206,拖沓,14
3226,走向,14
3935,刻画,14
5035,味道,14
5321,第一个,14
5555,还行,14
6531,鬼怪,14
6746,内地,14
7167,放在,14
7209,看着,14
8127,男性,14
8216,后半段,14
8499,清晰,14
8525,告诉,14
8581,观影,14
8708,低,14
8725,五星,14
8784,逼,14
9221,打磨,14
9254,离谱,14
9382,肯定,14
149,藏,13
253,不想,13
522,大陆,13
847,经典,13
1239,价值,13
1240,三个,13
1334,世界,13
1657,爽,13
1752,师,13
1945,黑,13
2120,足够,13
2126,片中,13
2238,失望,13
2456,字幕,13
2748,永远,13
2756,角度,13
3858,接,13
3998,阿生,13
4109,整容,13
4247,超级,13
4477,发挥,13
4555,吹,13
4917,海报,13
5115,交代,13
5332,身上,13
5501,上海,13
5532,善恶,13
5666,出场,13
5701,档,13
5850,亲情,13
5969,内核,13
5986,几处,13
6057,丝毫,13
6164,模仿,13
6677,枪战,13
6739,升华,13
6757,傻子,13
6777,林音,13
7070,阴暗,13
7082,硬伤,13
7155,神,13
7437,女,13
7450,法庭,13
7656,心疼,13
8019,尝试,13
8055,剧透,13
8492,紧张,13
8550,优秀,13
8637,恶人,13
8690,处,13
8867,#,13
9239,刚,13
9301,符合,13
144,陈旧,12
147,打戏,12
201,总,12
288,女人,12
332,正义,12
485,精神,12
727,略显,12
818,很大,12
996,发展,12
1643,一句,12
1993,话剧,12
3001,面瘫,12
3281,前半部,12
3628,现场,12
3743,总体,12
3774,接受,12
3826,一颗,12
4341,平庸,12
4843,原作,12
4859,段落,12
5096,影子,12
5314,延续,12
5511,背景,12
5523,拍摄,12
