,分词,计数
7524,见,14
7547,救赎,14
7566,年轻人,14
7855,理想,14
7874,视频,14
7892,冲突,14
8956,演得,14
9230,片名,14
256,电影版,13
463,相互,13
489,版,13
584,刻画,13
700,加,13
862,男性,13
925,场景,13
1456,命运,13
1668,制作,13
1687,事,13
1693,吸引,13
1769,表白,13
2055,放弃,13
2218,cp,13
2327,空间,13
2378,本片,13
2611,开场,13
2661,眼中,13
3104,风格,13
3483,文艺,13
3700,很难,13
3847,矛盾,13
3885,展现,13
3908,感人,13
4608,倒,13
4924,友谊,13
5428,推荐,13
5456,足够,13
6165,看得,13
6478,呈现,13
6607,选角,13
6971,仿佛,13
6996,傻,13
7269,充满,13
7381,档,13
7903,母亲,13
8033,三星,13
8495,快乐,13
8755,状态,13
9392,幸福,13
37,漂亮,12
326,手机,12
486,奇怪,12
592,剧作,12
769,纯爱,12
811,遇见,12
1123,气质,12
1136,勇气,12
1204,片段,12
1819,味道,12
1854,轻喜剧,12
1867,2022,12
2122,煽情,12
2301,全是,12
2719,恨,12
3526,吵架,12
3545,好笑,12
3717,开心,12
3850,昉,12
3922,一颗,12
3950,到位,12
4415,两位,12
4476,失望,12
5740,越来越,12
6013,男友,12
6272,成熟,12
6471,长,12
7039,质感,12
7396,买,12
7468,张婧仪,12
7519,两,12
7723,群像,12
7740,家,12
7911,校园,12
8637,观感,12
8697,抱,12
8879,桥段,12
9011,做作,12
9044,小说,12
9490,秘密,12
1704,付出,11
1830,沟通,11
1876,不用,11
1882,创作,11
2106,岳麓书院,11
2828,玩,11
2890,抓马,11
3156,暧昧,11
3452,一张,11
3590,导致,11
3810,致敬,11
4067,尹,11
4111,北京,11
4211,老套,11
4221,后半段,11
4518,难,11
4990,总,11
5147,表情,11
5484,过程,11
5629,一碗,11
6016,那条,11
6335,mv,11
6538,荧幕,11
6741,配乐,11
6867,演绎,11
6913,是从,11
6966,心,11
7133,解决,11
7160,令人,11
7329,为啥,11
7735,关注,11
7888,之外,11
8015,隔离,11
8101,离谱,11
8734,陆斌,11
8834,剪,11
8937,档期,11
9370,剧集,11
505,歌,10
568,结构,10
688,工业,10
804,男主角,10
1361,创作者,10
1459,找到,10
1474,讲述,10
1640,深刻,10
1654,陪伴,10
1658,用心,10
1799,冲着,10
1894,婚姻,10
2046,够,10
2102,放在,10
2293,低,10
2489,间,10
2648,狗,10
2659,旅游,10
2835,文学,10
2920,甜蜜,10
3092,妈,10
3095,大学,10
3171,许一,10
3385,原著,10
3405,眼神,10
4120,精神,10
4196,唱,10
4278,很烂,10
4516,显得,10
4615,挺不错,10
4652,一点点,10
4766,相爱,10
4783,上映,10
4873,这座,10
4899,怀疑,10
4964,主创,10
4970,摄影,10
5095,路,10
5121,穿越,10
5325,李孝谦,10
5627,半,10
5751,第一,10
5960,嗑,10
6040,钱,10
6258,好帅,10
6344,三位,10
6551,回到,10
6755,市场,10
6805,少,10
6860,二,10
7102,这片,10
7366,呜呜,10
7816,核心,10
7853,对话,10
7918,滤镜,10
8030,访客,10
8217,吐槽,10
8640,情况,10
8731,开,10
8790,逼,10
8793,真诚,10
8810,帅,10
8814,强,10
9048,演出,10
9056,男朋友,10
9167,稀碎,10
9289,神话,10
9309,好听,10
177,PS,9
429,有种,9
474,性格,9
561,悲伤,9
582,20,9
725,掉,9
753,触动,9
830,搭,9
968,没什么,9
1091,结婚,9
1229,包括,9
1422,拍摄,9
1548,身上,9
1592,处,9
1664,一步,9
1833,结束,9
1851,生硬,9
2006,平凡,9
2103,总体,9
2230,小品,9
2283,软件,9
2286,评分,9
2307,展示,9
2536,探讨,9
2578,那场,9
2657,主线,9
2710,槽,9
2889,长大,9
3286,向东流,9
3366,拯救,9
3438,感到,9
3616,情,9
4495,彩蛋,9
4560,院线,9
4637,焦迈奇,9
5007,影响,9
5180,蜡烛,9
5418,这才,9
5511,冬雨,9
5575,生气,9
5671,新鲜,9
5743,流水账,9
5776,体验,9
5972,青年,9
6278,带来,9
6346,选,9
6574,妈妈,9
6644,时空,9
6992,非,9
7057,每次,9
7469,五星,9
7530,便,9
7770,糖精,9
7812,陪,9
8019,超过,9
8270,独立,9
8357,@,9
8407,哈哈哈哈,9
8578,好多,9
8828,平淡,9
8893,太多,9
8964,岁,9
9042,鬼,9
9146,骗,9
9287,初恋,9
9458,振华,9
12,30,8
520,月,8
581,不算,8
672,经典,8
829,搞笑,8
1107,时期,8
1192,他俩,8
1238,出彩,8
1366,如坐针毡,8
1476,虐,8
1516,记,8
1525,猜,8
1605,瞬间,8
1771,感谢,8
1811,泪,8
1956,湘江,8
2057,重复,8
2153,先,8
2163,伤痛,8
2217,鸡汤,8
2359,散步,8
2523,就让,8
2748,见到,8
2868,自卑,8
2962,张含韵,8
2968,无脑,8
3151,德国,8
3398,本质,8
3558,争吵,8
3585,脑电波,8
3614,焦虑,8
3665,场,8
3745,抄,8
3791,体会,8
3961,新人,8
3999,主打,8
4033,笑点,8
4269,关键,8
4372,放,8
4669,舞台,8
4704,戏剧,8
4770,跑,8
4795,很大,8
4800,说实话,8
5288,有人,8
5310,全世界,8
5530,期,8
5668,心理,8
5911,优点,8
5948,化,8
6434,kk,8
6445,两部,8
6670,我会,8
6673,上海,8
6765,周深,8
6836,制造,8
7084,守护,8
7143,洗白,8
7251,幼稚,8
7367,拧,8
7491,拥有,8
7498,内核,8
7583,角度,8
7660,两星,8
7711,水准,8
7734,营销,8
7985,ps,8
8195,满分,8
8213,谷雨轩,8
8348,痛苦,8
8417,创意,8
8419,养眼,8
8423,MV,8
8425,唯美,8
8612,赵,8
8737,交代,8
8763,还好,8
8860,温馨,8
8866,表面,8
8926,我爱你,8
8999,油腻,8
9026,坚定,8
9200,影版,8
9208,红烧肉,8
9299,刚看,8
9337,纯,8
9388,扎实,8
9438,字,8
68,变化,7
111,圆满,7
127,打破,7
216,深夜,7
291,轻盈,7
362,网红,7
414,拥抱,7
448,谈,7
493,诈骗,7
628,评价,7
832,想着,7
866,七七,7
1069,机会,7
1117,许愿,7
1265,稍微,7
1467,合格,7
