用户名,评论时间,评论内容,评分,赞同数
酱爆桑,2023-04-29 15:49:55,【0】弱智电影。又被诈骗到在电影院看电视剧。在摆明真相和凶手的前提下，非要拉长时间堆砌恶心观众，人物无脑冲，案件没细节，黄景瑜的表演同剧情反转一样令人发笑。用拍电视剧的思路拍了两集电视剧，完全逃离不了电视剧视听审美的品味。警检对峙跟闹着玩，凶杀悬疑要加点盗墓案，每个角色都假到令人发讪。扫黑风暴拍完了来拍点警检风暴，官官相护，扫黑除恶，正能量满满。每个角色的弱智，犯罪片，爱情片，正向片，全都要。你问麦兆辉的特质是什么？特质就是特别能制造屎。,10,117
seamouse,2023-04-29 13:22:05,5。用我爸手机约的免费场。才看完《正义回廊》接着就看内地法庭戏，虽不能说有确实差距，但至少差异是明显的。是的，两部我都不怎么喜欢。《检查风云》剧情事实简单，拍得正儿八经，不追求让观众烧脑的效果，而是通过直截了当的正邪对立，尽可能制造爽片可能。至于爽没爽到，狂没狂飙，因人而异。,20,50
一灯,2023-04-30 17:05:28,太多巧合绝不是好电影,-t,2
Reminiscent,2023-05-03 09:00:50,应该列为禁片，耽误老百姓时间。,10,82
雾都一枝花儿,2023-04-29 20:45:05,里面最不出戏的居然是包贝尔，可谓是本色出演，没人反对吧？王千源藏证据被追那段简直又“牛逼”又离谱，都甩掉了不赶紧跑，留在原地等着被撞呗，我大呼救命的程度。why？我们白姐何至于此？,10,55
闲人,2023-04-29 17:32:03,平庸到完全没有一点可说的电影。麦兆辉离开庄文强的剧本之后，电影水准直线下滑。,20,30
付突突,2023-04-29 17:48:58,一开始像那么回事，铺垫的有点东西，然后开始搞男女主谈恋爱，然后岳云鹏搞笑，然后是各种巧合，证据得来全不费功夫。真是受不了。国产电影啥时候能认真搞剧本啊。,20,31
花酒间,2023-04-29 18:03:01,事实证明，港台导演拍的主旋律，和脑子正常的人拍的主旋律之间有一道不可逾越的鸿沟。很多口型都配不上。 完全是按香港英美法系来拍的，希望导演你以后多做点功课，不要拿着白粉的钱，干着卖米粉的活。没人拿枪逼着你拍。是后悔自己没拍过盗墓笔记/鬼吹灯吗？想拍盗墓，麻烦另起炉灶。大白天，人来人往，有人摔死，合计就三人知道？三人臂力惊人，没人拖拽，没人拉着就能上去。可惜了一帮好演员。另外，小岳岳真的很搞笑。,20,18
||Outsider〝,2023-04-30 21:34:17,"一坨狗屎。
检察院大厅放的教育片都比这个好看。",10,29
JoeyLu陆柏宇,2023-05-01 23:35:20,故事可以，就是后期做的让片子显得廉价。,20,5
