用户名,评论时间,评论内容,评分,赞同数
退堂鼓演奏家,2023-04-28 19:16:31,蜡烛和蛋糕的细节真的很戳我，每一次的时空穿梭都设计的特别巧妙。,40,11
降雨機率,2023-04-28 19:31:47,画面偶尔有bug 但不影响观看。看完只想说国产爱情电影似乎起死回春了。最后，周也好美，为电影而生的一张脸！演技也在及格线上！公司真不争气一直给她接电视剧，不知道什么适合她吗？,50,16
桃纸,2023-04-28 23:57:51,看完了首映，三星半！远超国产爱情片平均水平，在我这里不是烂片，至少可以给6.5分。有笑点有泪点，配乐很贴，开头十五分钟剧情有点跳跃，但后面逐渐引人入胜。,40,12
泫雅（已分手,2023-04-28 19:34:07,影片告诉我们情侣之间有误解就应该及时去解决，不要任它滋生蔓延，毕竟明天和意外不知道哪一个先来。,40,14
花千骨,2023-04-28 19:24:31,很多时候都是因为误会而争吵彼此错过了，希望每一对情侣都不由遗憾，这部电影的细节很用心。,40,12
句号,2023-04-28 19:14:09,爱情是相互磨合相互包容，既是双向奔赴也是双向救赎，电影好感动。,40,12
开平彭于晏,2023-04-28 19:25:40,【39】这个导演的作品总有着一种精致的老土，服化道都好美好美，但就是架不住俗套的剧情，而且这次看着像导演参与制作《想见你》电影版后衍生出来的产品。前面一直被男主的行为气到，主CP还不如副CP好嗑，剧情的推进不要太顺理成章，导演也太爱耿耿和韦一航的家了，另外细看阿瑟很难不幻视凯子哥啊！庆幸的是最后的半小时让整部电影起死回生；也子的五官不乱飞了；石柱伫立之地是全片最棒的设计，颇有科幻质感。@倒数说爱你,30,6
Joyboy,2023-04-28 19:14:35,"很荣幸参与了影片在北京的首映礼，看到荧幕上和自己年龄相仿的演员诠释了一个十分令人动容的爱情故事，特别真实，很有代入感。

雨轩和书妍吵架的片段，让我明白了恋人彼此之间沟通的重要性，也让我看到了男女在同一个事情上的思维差异，会代入自己，更好地去理解自己的另一半。

画面内容上，整部影片处处都有关于蜡烛的意象出现，应该是导演埋藏的一些小设计。情节安排上，它不光讲了一个雨轩在拯救书妍的故事，后面书妍为了救雨轩，也下了很大勇气并选择作出牺牲，更让我深刻体会到爱一个人不单单是双向奔赴，更是对彼此的救赎。
我觉得每位彼此相爱的人，看完影片都会被它传递的能量深深打动。命运可能会注定一些结果无法改变，但我们可以选择珍惜眼前已经拥有的一切，尽量不留下遗憾，这何尝不是一种幸福。",40,10
日醺微醉D,2023-04-28 19:24:18,影片充满了惊喜，首先是男帅女美，不仅主角团颜值高，配角团颜值也很高，而且四位年轻演员的演技都不错，让人惊喜。,40,13
牧阳人,2023-04-28 19:42:51,这部片刚开始我看的表情是这样的。嗯.？哎？嗯！嗯嗯！珍惜眼前人，把握当下！不留遗憾！多沟通，多交流！相信你们的感情！,40,9
勇敢鲨鲨,2023-04-28 19:35:15,不要失去之后才懂得珍惜，也不要让现实中的琐碎和误会挡在我们和心爱的人中间，要珍惜每一天每一刻。,40,14
见风少年,2023-04-28 18:22:01,刚看完，小成本爱情片，没想到还有惊喜，看完还挺感动的。主打奇幻爱情，电影电视剧我都喜欢看暧昧期，两主演小表情小细节冒粉红泡泡，话说简单爱在现在这个时代也很难得了。不狗血不为了虐而虐的爱情片也挺难得。跟着演员的声音和情绪走就像是坐过山车，以为会是悲伤ending的时候，发现还是个浪漫的结局，故事情节很连贯完美闭环。另外一对是本色演出吧，特别好笑。画面颜值原声和ost对眼睛和耳朵都很友好。单身狗看完会生恋爱脑，两个人一起看会珍惜当下。上一次在电影院看爱情片还是雷佳音的超时空同居，也带奇幻,50,30
年逝,2023-04-29 07:34:09,故事有点单薄，但是足足戳到。又蠢又好哭的纯爱片。,40,8
L1224,2023-04-30 21:25:09,它配得上一千来万的票房,10,20
Peter Cat,2023-04-30 01:07:32,爱情片作为国内院线刚需，《倒数说爱你》比较难得是从故事到人物基本没有太大槽点，制作品质也用心、体面。只不过在最核心的内容层面，乏善可陈，平庸无奇。或者说，对于这样一个套路的奇幻爱情模版，两个演员虽无雷点，但也没有提供更“嘶声力竭”看点和泪点，尤其是陈飞宇，显然没有能力输出一种有差异性的情感和表演，整部戏用力均匀，情绪“稳定”。,30,1
点点有问题,2023-04-28 19:10:31,谷雨轩韩书妍两个人命中注定的爱情，和不期相遇的缘分太让人感动了吧！,50,14
DayflywBlue,2023-04-28 19:30:47,男帅女美，对我眼睛很好。bgm和拍摄手法也不错，中间哭了好几次，男女主的哭戏加一星，真的很能带动人，是谁在说周也演技不好啊？,50,13
勇敢鲨鲨,2023-04-28 19:35:15,不要失去之后才懂得珍惜，也不要让现实中的琐碎和误会挡在我们和心爱的人中间，要珍惜每一天每一刻。,40,14
江湖人称bbb,2023-05-02 21:06:55,女独美男独帅就是演的没太爱,20,6
