用户名,评论时间,评论内容,评分,赞同数
用户名,评论时间,评论内容,评分,赞同数
wendywf222,2023-04-28 21:06:20,"张新成在大屏幕上呈现了细腻的表演，表演风格更加纯熟稳定。怼脸镜头也扛住了！

剪辑上有多次倒叙但并不混乱，有一处流畅的连续转场镜头我自己非常喜欢！

配乐恰到好处，没有很刻意地煽情。剧情走到后半程，情绪一点点累积，最后的HE反而令人万分感慨，回味无穷。

很少看爱情片的我确实被打动了，值得票价。就够了。",50,694
居无间,2023-04-29 11:08:32,五一档惊喜之作。孙千的表演非常灵动，演出了陈见夏的胆怯、卑微和要强。张新成演出了李燃的痞、叛逆和善良。选角对了，青春片就成功了一半。特别值得指出的是，导演在试图挖掘人物身上的下意识反应，这让表演细腻而深刻。本片出挑或者说可贵之处是它的女性主义表达。从这个角度梳理，陈见夏一直在跟生存环境做着对抗：家庭中的重男轻女观念、校园中的偏见与霸凌。她一直试图逃离，对应了翅膀的意象。爱情于她而言，既是救赎之光，又是奢侈品，对应了围巾的意象。这些设计，让影片跳脱出了国产青春片的窠臼。摄影也很棒，选景、构图、光影处理，审美在线。,40,633
向一個人靠近,2023-04-28 20:31:42,"这么多年着墨于男女主 人公情感的发展与陈见夏家庭的描写。张新成和孙干细致入微,你来我往、无比自然的 演技,还是流畅自然的叙事节奏。倒叙的剪辑, 层层铺开的感情,时而诙谐幽默窥见一丝青春的活力,时而晦涩隐忍展现生活的沉重,值得赞赏",50,614
李小丢,2023-04-28 21:27:28,之前看《风吹半夏》就记住了演野猫的孙千，感觉她演那种为爱不顾一切的女孩特别有说服力，她那种倔强不服输的劲儿，让人印象深刻。在《这么多年》里，她是那个在重男轻女的家里不被偏爱的女孩儿，面对母亲和弟弟的无理取闹，她紧抿着嘴唇、咬牙不流露出脆弱的样子，很能让有类似经历的我共情。这是她为什么对李燃念念不忘的原因，一个从来不被偏爱的女孩，在黑暗的看不到希望的日子里，终于被一束光照亮。张新成演清清爽爽的男孩子，还是很有说服力的，本来没法想象他演李燃是什么样子，看了电影觉得和孙千在一起意外的很有CP感，能get到外在混不吝、内在很正直的李燃为什么会对脆弱又坚强的她格外有保护欲。另外，刘丹老师的演技太棒了，有个“锅姨”当妈妈，压力真太大了。,40,684
letteronthwa,2023-04-28 20:44:30,看不出来情感基础 也看不出来那么多年,20,494
冰晤,2023-04-28 20:51:17,太碎了真的是,30,207
翘翘爱读书,2023-04-28 22:16:23,第一次一个人来电影院儿看国产爱情片儿，身边全是情侣，旁边的女生哭到哽咽，我只能说这种电影我都能坚持看完，这个世界还有什么事情是我做不到的,10,523
太空小肚子,2023-04-29 20:42:55,六年不见面都还这么爱的两个人六年中竟然没联系过一次，女主去个上海搞得好像生离死别，两个人不熟得好像微信都没加，女主妈最后那一本字的新加坡相关也很刻意很恶心，配角为什么莫名其妙欺负女主也没说明白，虽然是很多年前的小说但就是非得搞点女生间的勾心斗角，感觉整个电影裹着一层很厚的裹脚布。,30,139
mancy珉,2023-04-28 21:18:46,张新成真正意义上的第一部电影，他22岁演了你好旧时光的林杨，28岁又以李燃登上大屏幕，有些书粉颇有微词“同一个人演不同的振华系列男主怎么能演好”。但看完电影后，我觉得这种言论也就挥之而去了，张新成交上了一副满意的答卷。这个李燃好苏好男友力好脱离现实的完美“围巾”！！！只可惜在短视频里惊艳到的一些镜头，实际上在正片里删减了，例如抽yan再例如还有很多版本的kiss，可惜可惜……,50,538
徐若风,2023-04-29 18:49:25,没想到这部片会有小惊喜。国产爱情片的外壳下，还有着对现实的映射与探讨。看完翻阅导演和编剧的前作，理解了为什么会做到这种形态。在女主原生家庭的创伤背后，也是意指不同年代背景下的女性缩影。刘丹的表演非常带感，孙千和张新成也让人看得舒适，两人的角色cp感真的很足。,40,545
薛定谔的脑子,2023-04-28 20:06:03,剧情节奏好有问题/张新成真的是学霸脸演校霸完全没有代入感（没有说他演技不好的意思）,30,121
蜗牛,2023-04-29 17:18:48,咋了，不在同一个地方就不能在一起了吗。连沟通都没有的脆弱爱情,20,214
coech,2023-04-28 22:07:09,最后一次为高中的我对八月长安的迷恋买单🙏台词没啥逻辑，跳线，乱飞。还有，别搞雌竞，别让女人为男人妥协🙏,10,331
惘然,2023-05-06 21:36:37,我就一件事情弄不明白：为什么这个男的不能离开哈尔滨啊（新加坡不能去，上海也不能）？他家是卖红肠的吗？,30,39
光影人生,2023-04-28 20:57:44,这世界上最美好的爱情不是绝望之中等到了别人驾着七彩祥云来拯救你，而是你自己披荆斩棘奔袭万里。张新成和孙千的表演很贴合角色，选角满分。男女主两人，十年长跑，兜兜转转走到一起，爱情虽然有很多种，但是没有人能够战胜拥有共同回忆的纯情男女的爱情。 是那些艰难岁月里温暖的陪伴，或许才是我们心心念念的吧。很平凡不闪亮却只有一次的青春。,40,656
塑料树,2023-04-28 20:13:15,节奏剧情调度演技全都稀碎，真的没看过这么难看的电影。之前觉得八姐这本写得很一般，对比起来这电影烂得是八姐可以起诉的程度。我宁愿加三天班也不想看这种东西😅,10,328
谷风一幕,2023-04-28 22:48:37,依旧光线流水线青春片那个味儿，毁原著。中国青春片变成今年这样，光线至少要负一半责任。,10,258
内陆飞鱼,2023-04-29 19:32:13,"不是很经常看国产青春片，但是作为放假看的第一部电影，超出预期，竟然没踩雷，观影全程很轻松很暖心。
作为女导演季竹青的第一部院线电影，色调、氛围营造很养眼，第一次看张新成、孙千主演的电影，确实感受到了青春扑面的活力，双线叙事有时间的沉淀感，很用心。尽管很多人不相信爱情，但我朋友圈里像电影一样经历十年爱情长跑的人真还有好几对，爱真的是奇妙的东西。",40,531
Fairy🍒,2023-05-01 00:27:17,"2.5星。不知如何评价，很多预告里的镜头都没有出现，不知道剪了多少，反正成片出来就是非常稀碎。其实导演蛮会拍的，很多镜头都挺有氛围感，两个主演也很搭，虽然张新成还是一万个不适合李燃！但演技拯救了他。在振华宇宙里，陈见夏是我第二喜欢的女主，仅次于周周。见夏的人生处处充满难题，喜欢上李燃是她生活里唯一的叛逆，也是拯救她的光。电影对她原生家庭这一部分处理蛮差的，不太能接受。不过很感谢这部电影终于把背景放到了哈尔滨，哈尔滨好美，这就是应该属于振华的城市啊。
距离《这么多年》在萌芽连载开始，已经过去了这么多年。“五行缺火，我叫李燃。”小太阳这次也温暖了见夏。",30,14
申报记者何书桓,2023-04-28 22:55:44,光线能不能别碰振华系列啊！！！张新成只能演林杨！,10,259
momo,2023-04-28 20:52:24,匪夷所思的古早剧情和尴尬演技,10,252
阿熠钻粉燃整夜,2023-04-28 20:36:51,特别特别感动😭😭😭校园拍得好纯爱好美好啊 陈见夏这家庭代入一秒就窒息得不行了但是还好有李燃 我说李燃帅得有点过分了吧🆘🆘,50,597
M.I.A,2023-04-28 20:32:57,点映看的，感谢贤movie组织的活动~整体来说高于预期，近年的青春电影都比较容易“疼痛”，这部作品没有这种感觉，是比较真实的。张新成虽然是第二次出演振华宇宙的男主角却不会让人串戏，李燃的第一场戏就把角色立住了。孙千也有一定的惊喜，演出来了和过往角色不一样的感觉。整体瑕不掩瑜，在这几年看烂片高发的青春电影里算一股清流了。,50,531
添添,2023-04-28 20:55:27,好好看的青春片。青春就是这样啊，想逃离原生家庭、要奋力生长、要赚钱、要出人头地、要去远方…女主励志成长+男主温暖守护～多么美好的爱情，一点都不狗血。全员演技在线，CP感炸裂，导演调度很成熟，近几年国内最好的青春片～,50,538
_5yc,2023-04-29 17:26:32,对不起我好像看不懂你们省城人莫名其妙的冷漠、复合和滚床单，好像也看不懂你们乡下人以全世界为敌和谁都能开吵的祖安人生😢,20,164
嘟嘟熊之父,2023-04-28 22:07:46,虽然V不在江湖，但江湖上还是有V的信徒。和光线其它爱情片相比，是10分和100分的差距。刘丹演技炉火纯青，张新成随帅略油，孙千未来可期。,30,36
酽,2023-04-28 20:45:00,"以为国产青春片都是烂片，但是知道上映还是买了最早的一场。没想到会喜欢，怀疑我对在电影院看的电影会有滤镜，但就是喜欢！
密密麻麻的排名表，用荧光笔标出自己的那一条。在彩色街灯底下独自跳舞，跳水坑。太多相似的，“我只会念书”，我也说过类似的话，那时也卯着劲想改变命运。还有做不到的事，被没有远见的父母困住的戏剧化时刻（不能说，但真像）。
金陵遗梦，“记起世界的梦”。知道要上映，第一反应就是小说开头的南京与秦淮河畔。今天的巧合。向往的地方，都知道离别的旅行。
“围巾和翅膀，你和未来，我都想要。”
许多穿蓝白校服的男孩女孩进来看，真青春，到了看到校服就觉得青春的年纪。
谈恋爱不是我的青春，但是拼了命念书一定是。
故事不完美，除了男女主以外的人物都平面，边缘化，其他人的台词都很烂俗。
但在影院看就幸福。",40,436
一心一译0708,2023-04-28 23:08:04,导演 ，你是如何花《这么多年》拍出这样一部绝世大烂片的呢？,10,192
怎么可以拖盐,2023-04-28 23:26:09,男女主找对了，导演不要剪那么碎会更好。不得不说，张新成这张脸真的很适合大荧幕，精致得很,50,182
