用户名,评论时间,评论内容,评分,赞同数
Emery_Hasio,2023-04-15 09:09:09,"影版规格的缩减叙事下依旧以生活流作为创作蓝本，除去导演的私人表达之外几乎没有参照英美大女主都市群像戏玩不适配的婊气cosplay，反倒衍生出本土色调下的社会切片样例集锦，对多元女性议题的暴露选择自然埋设，从根源上摒弃了低级的直面摁头强塞，既不功利也无爹式说教味，在引发“吃女性题材红利”的潜在声讨中先声夺人，观感非常舒适；
“你真信了？我骗你的”，陈正道用了一种唾弃廉价狗血情感的方式重申剧作基调，持续反常规、反套路、反刻奇，保留人物原始缺陷，灭掉传统的主角光环，深化对女性心理的洞察和对多类情感剖析的细腻性，多处饮食描写拓宽了对主题中“爱”的探讨，开篇对《小时代》的致敬比起理解为雌竞下的调侃更偏向看作是多元女性群像的合理共存。
真诚希望这个ip能够继续做下去，至少在现环境下它是异常可贵的…",40,334
朝阳区妻夫木聪,2023-04-13 23:08:24,太好看了吧哈哈哈哈哈，全程俩小时乐成尖叫鸡谁懂啊！虽然基本每一步都踩在预期上甚至细细想想还有点俗套但我真的还能再看一百集！陈正道你第二季不搞快一点我是真的会生气OK？！最后，守护全世界最好的陆斌小天使呜呜呜……（此条短评自带粉丝滤镜谢谢）,40,197
不是很妙阿森,2023-04-15 14:00:47,女性且当下的小妞童话，输了总会赢、失败了总有新奇遇、坏天气中也有好运气、失败的表演只是彩排，吵架了也总会和好。,40,144
豆瓣路人己,2023-04-15 11:47:22,主创团队那种gay gay的刻薄有趣可爱，真的展现的淋漓尽致！,40,152
summer echo,2023-04-14 15:45:56,"呜呜山木和宋超的戏份真的好少！山木一两分钟吧，宋超直接没有，虽然我很喜欢“铁打的女主流水的男人”的概念，但还是蛮希望能看到山木宋超刘净之间的故事发展的，毕竟这向东流看起来也不太靠谱啊（好喜欢山木在好好上的头像！）略微觉得山木有点崩人设，虽然他在剧里就比较“花心”，但电影里太过分了😭
作为剧粉看得还是蛮开心的，也能发现很多和剧集的呼应点，比如为什么陆斌这么讨厌骗人、“如果我现在亲你会很奇怪吗”等，整体稳定在和电视剧持平的水准。但不得不说，作为一部电影而言还是浅了点，轻喜剧确实是轻喜剧，但是诸多剧情没有发展完成，整个也只是续写了女主们一段时间的生活，跟看个第二季的前两集没有太大区别。既然是做成电影了的，还是希望能有点电影的感觉。
突然想起陈正道导演的自黑梗，豆瓣五分多的“访客的秘密”哈哈哈。",40,122
宋若曦Roy,2023-04-08 17:37:28,"很难说是一部电影，纯粹只是就电视剧的剧情往后延展了人物故事，就电影本身并没有讲出什么实质性的内容。

大城市，光鲜亮丽的都市丽人，情情爱爱的肥皂故事，你说真实吧，也有，毕竟很多元素打工人都会经历。
但实际上呢……

约会软件并不可能一下就刷到高质量男性；
大多数健身教练也不可能每天晚上都在读书学习；
然后……好像大多数人也不是都这么爱上班的吧[doge]

物质生活的一切都是最理想的状态，爱情就成为了唯一让人苦恼的事情。

可是，放眼现在的年轻人，随便采访一下，他们是求姻缘还是求财神，就能够知道大多数人的马斯洛需求层次离这样的乌托邦还有很大的距离。

一场漂亮的肥皂剧，跳完年会的舞，电影落幕，想想第二天还要挤地铁打工，就更觉得这口“美味”是电影里的漂亮姐姐们才会拥有的光彩人生。",30,59
春天来得很慢,2023-04-08 16:05:50,女人工作这么辛苦了还努力挖掘一个比一个烂男友的优点真的辛苦了,10,76
把噗,2023-04-15 10:50:20,延续剧集的故事，继续讲述三女性在爱情和事业间的挣扎。姐妹携手互助，很难不想到此前大热的《重启人生》，尤其开场三人连珠炮式的聊天，很有“笨蛋节奏”。剧集的笔墨均摊手法延续到电影中，为每位女性构想现实困境，电影容量限制有重点模糊和拖累之感。好在影像节奏明快，轻快幽默，看完仍然对女性找寻自我、活出自我的果敢肃然起敬。,40,180
阳凡,2023-04-15 02:37:16,延续了剧版的轻松和搞笑，希望男生的戏份再多一些就更好了，小小希望男生也可以大胆露一下哈！,50,244
西楼尘,2023-04-17 00:56:53,信任是堵塞的马桶，一旦试探就会变得一团狼藉。焦虑是渗水的顶板，一旦撬开墙皮就会滴个没完。谎言是偏差的子弹，一旦开枪就可能会中伤自己。爱情是最难理解的熵增定律，不能像交友软件轻松匹配。生活是充满反转的分子料理，不会像网红探店随意点评。姐妹是就算你嘴上说没事，还知道你不行留下来陪你。,30,31
