用户名,评论时间,评论内容,评分,赞同数
未卜,2022-09-18 01:39:18,我本来就是想看看娱乐娱乐，没想到直接情感代入了妈的。如果不是片子质量真的不顶，我说不定会手滑打五星。光线怎么搞的，就这么穷吗？控光、收音都搞得这么辣鸡。结尾还直接模仿《那些年》，敲定这个结尾的人怕不是脑子有大病？导演作为编导生拍编导生的大学生活真是没的说，我一个学编导的要看哭了。整天泡网吧不好好学习，偶尔奋起拍下片儿真的太真实了。还电视台工作，那声主任叫的我好像见到了自己主任...刘孝谦作为郑州老乡，真的太有少年感了！漆昱辰也挺好的，网红出身演成这样不容易。许一这个角色真的是太傻逼了，既怂且幼稚。其实两个人最终没有走到一起，是挺遗憾，都有责任。或者公允点说，缘分不够。许一丢下女朋友去闯事业就该做好分手准备。晓楠是让前男友进家就是不对。导演疯狂暗示自己拍过舌尖上的中国，好吧，我get了。,40,5
小丹丹,2022-08-04 15:19:39,"2022年最好看的爱情电影💓推荐指数五颗星
🎬《我们的样子像极了爱情》
虽说片名像极了烂片不过真的好好看[可怜]
BE的结局 爱啦爱啦❤️预祝票房大卖
不得不说导演选角真好资源也好
妆造摄影音乐都是顶配 建议到影院支持",50,11
枯藤和老虎,2023-05-01 13:57:13,“爱情”是什么？在我看，爱情是对沉闷、平庸、虚无的现实社会的反抗。所以爱情是可以超越民族、种族、敌我、年龄、阶级甚至性别的的存在。但在一部校园青春“爱情片”里充斥的居然是各种“现实主义盘算”，这让我感到很不舒服，就像一个油腻的中年渣男在为自己辩解说这全是社会的责任。既然不相信爱情，为什么要拍爱情片？爱情敌不过现实？那说的是被打败，而不是被吓破胆的逃跑。这其实又引出另一个问题，完成度高（导演、演员、摄影、美术……的技术努力）是否能挽救一部价值观存疑的电影呢？,30,0
黑巡一号,2023-03-18 11:59:21,某几场戏技巧用的好,40,0
叶飞Phoenix,2022-09-15 22:20:30,一部两个小时的电影，证明俩大冤种根本不适合在一起。,20,5
大香肠大水管,2022-08-04 17:18:38,一想到这个暑假全是这种大陆鬼电影，完了，整个暑期全完了,10,181
不喜欢睡觉😴,2022-10-05 15:02:20,是同哥的故事吧，哈哈哈,-t,2
奥特曼,2022-08-04 17:30:24,刚看完出来，没给我气死。年初的情人节档到今天的情人节档，青春系的爱情片全军覆没，没一部能看的，光线倒是从不缺席。,10,82
J.Wen,2022-11-14 23:07:13,故事有点个人经历映射感觉，男女主太多时候缺乏化学反应。不过值得为长沙加1星。,40,0
mpor2,2022-09-27 21:51:24,像极了爱情，那可能就是爱情～怂货不配拥有爱情咯～,30,3
者是也,2022-09-28 23:51:55,"爱就不要懦弱，不要想着不能给予她最好的，也许你就是他的世界。最后失去了才想着痛心后悔，伤害的永远只有自己！
最后麻烦导演们以后能拍点结局好的嘛，大学的恋爱现在是很美好的，生活的本质也是有爱而存在，可以成为恋爱的榜样为什么要最终扼杀，快餐式恋爱不就是因为看不到结局从而报复性产生的吗？
既感动又伤心，虽然我的经历是最终也是甜蜜的结局，但是我想为大众发声！",40,5
清晨的狐狸,2022-08-07 12:37:38,刘同代表的光线能不能不搞这种矫情片了……只能说完成的还可以。摄影很好！,20,10
睡觉对我很重要,2022-08-04 15:14:42,不勇敢就没得爱情,40,10
王大根,2023-01-09 17:23:46,流水账片撑死拍90分钟100分钟，2小时实在太长了,20,1
阿尔法,2022-11-11 22:12:23,这种感情00后应该理解不了吧～,30,0
大展鸿图,2022-08-04 15:31:48,"演员们的演技很好，剧本也相对不狗血
如果你觉得许一太怂了，但是其实他为她买过花，为她追过车，带她看日出。你有这样的“友谊”吗？
在这些基础上，后期许一的做法太过于不成熟，不自信了，不符合常理。
七夕一个人去电影院看这部片子感慨万千，就算我没为她做过这些轰轰烈烈，也该表明我的心意，不给青春留下遗憾。
遗憾吗，人最大的遗憾就是总是在遗憾过去的遗憾。电影可以不现实，平常人的生活或许并没有这么轰轰烈烈，但是现实中我们要做更勇敢的自己，青春的盘子上不要留下空白和遗憾。我想看完这部片子，我可以让自己的青春少留点遗憾
另外说一下，特别喜欢阿香，很鲜活的一个角色",50,13
Warren,2022-08-04 21:09:34,2012便利店买不到方便面 但往前十年你能在小卖部买到酒心巧克力 我还能说什么,10,51
春江花月夜,2022-08-04 19:19:54,我们的样子像极了韭菜,10,25
饮歌,2022-10-14 10:52:38,好多地方真的蛮好哭的…年轻的样子真好，爱情的样子也真好…李孝谦未来可期，《五个扑水少年》对他就印象很深，这次表演年龄跨度大，尽管可以更好，但好在他眼睛里流露出的真诚是真的很动人。,30,2
小姚的吉姆餐厅,2022-08-05 00:52:33,之前看的点映，还不错了,40,3
网名,2022-08-12 14:27:16,在来福士看了路演,30,1
