用户名,评论时间,评论内容,评分,赞同数
喔喔喔好的,2023-05-04 14:22:39,非常无语的电影，被朋友拉去看的，真的让我非常失望。全程唯一的亮点大概就是胡军了。。。王一博从颜值到演技真的烂到家了。。。但是他是男主啊，竟然这么稀巴烂。还有电影从头到尾好多常识性的错误，整个电影真的毫无诚意，割韭菜都不是这个割法,10,5020
momo,2023-04-28 14:59:27,长空之王是不错的，已经开始2刷,50,5000
Z.Targaryen,2023-04-28 14:58:58,导演太懂战斗机的魅力在哪里了！让我看两个小时纯战斗机的戏我也不会腻！没有网上说的那么催泪 但绝对很燃！大场面戏一场接一场 每次觉得这就是最大的重头戏了吧 后面还有更大的场面！单凭视觉效果也能值回票价！,50,6654
sl1224,2023-04-28 14:31:19,我已无法返航，你们继续前进！真的特别感动和难受！这是雷宇的成长史，也是隐身战机的诞生过程，结尾的战斗机追逐很炫酷，过程有笑有泪。,50,7298
地瓜馅春卷儿,2023-05-04 11:55:29,"的确是有被科普到「试飞员」这一职业，就像隐藏在幕后的工作人员，隐秘而伟大，更值得被人们尊重与了解👍🏻 
但是，电影剧情稍显老套，远没有真实录音「我已无法返航，你们继续前进」带来的感动🥲 从胡军饰演的大队长牺牲之后，剧情就差点意思。王一博的演技还是不行，和航医莫名其妙的感情线真是大可不必。
只能说，整部电影有它的价值，但远没有《红海行动》此类电影带给我那般震撼。真是可惜这个题材，可以表现的更好👀",30,44
烟花易冷,2023-04-28 11:17:12,国之重器，期待我军歼-20战斗机，扬我军威！,50,6608
晴空,2023-04-28 14:58:29,从头到尾燃爆，没有一个多余的镜头，有笑有泪，没有教条主义，却很震撼感动！是我看过的最好看的空军题材电影！,50,4615
武海雅,2023-04-30 08:47:24,剧情稍显老套，大飞机很燃。全家适宜。王一博一点都不拉垮。,40,747
kikiko,2023-04-28 21:13:50,看了首映，泪水充盈，特别是胡军最后出来见面会，真人好灵动,50,3178
王太太在撸猫,2023-04-30 16:00:13,"看之前本以为应该和球2差不多，剧情差点特效补，甚至特效也许未必比的上球。看完后打脸了！
我这么冷静的人居然也激动不已，看完后好半天缓不过来，心怦怦跳。这特效和运镜太牛了简直！明明不是3D震撼度却不输3D。
同时，剧情也非常OK，没有尬谈恋爱，没有假大空，老老实实的讲述了试飞员的故事，却让人一会儿开心的笑，一会儿流泪。。。
导演讲故事的功力很好。

我必须得说这片儿第一剧情抓住了我的情绪，第二特效一流，第三演员演的真不错，没有不好的。
田壮壮饰演的飞机专家头上的小揪揪让人难忘。
既然这样，那我没理由不给好评！

就是我有个疑问，刘晓世导演什么来历？我看了几十年的电影，怎么就没听过这个人呢？",40,2013
过去是只猫,2023-05-01 12:06:08,看了首映，比想象中要好，旁边姑娘感动到落泪；但也有一些内容情节上转折过急的地方，比如雷宇父亲态度突然的转变；有些互生好感的戏份确实挺没必要的；最后，致敬长空之上的英雄！,40,757
Raining,2023-04-28 14:30:07,被试飞员面临无法返航的命运时的坦然感动到不能自已,50,5010
问问神奇的海螺,2023-04-30 15:59:44,吹的过分了吧 就说这电影 特效还行都算不上 男主阎王看了都扣6 结局也不咋地 刚爽就没了,20,4654
噜比噜,2023-04-29 00:09:16,人生第一次看超前路演，虽然有些小Bug，但是整体效果在国内这个题材的电影中已经有很大的进步了，还看见了胡军，也算是难得的回忆咯。,40,1125
豆豆豆豆豆,2023-04-30 08:55:53,看睡着了……,20,2884
g1823,2023-04-28 23:53:06,大宇,40,431
小萝卜头,2023-05-04 11:58:25,不真诚，没有军事常识，无知，自我感动,10,3435
豆友DEpCoWvw5U,2023-04-29 06:26:19,我已无法返航，你们继续前进 ，😭以前我们不行，但是我们有歼20了，向试飞英雄和工程师们致敬,50,3655
4576,2023-04-30 15:56:13,当事人就是非常后悔看了这个,20,1654
天了噜,2023-04-28 11:33:16,有幸今天看了长空之王，朋友们就是说可以冲啊，有笑有泪，特效可以，爽飞！！！！！！！！,50,7700
momo,2023-05-01 10:15:19,好期待！,-t,37
兔子,2023-04-30 16:29:48,"🎦《长空之王》非常热血的影片
         观影后才知道试飞员这个群体，他们是中国航空的骄傲。
         战斗机试飞带来的震撼，在影片中各种飞行的细节拍的恰到好处，紧张刺激。
       张大队那句：“做为军人，性命加使命才是生命”贴切又敬佩，看完久久还沉浸在这样的感动敬佩和作为一个中国人自豪中，致敬这样一群为国家航空事业奉献的试飞英雄。",50,2300
格桑愫,2023-04-30 18:38:04,以空军为主题的电影不多，特别敬佩他们能自由翱翔于蓝天。看国庆阅兵，空军驾驶飞机表演各种高难度技巧，让人叹为观止，也让人心驰神往。期待通过《长空之王》这部电影深入了解一下令人敬羡的队伍,50,1026
不需要昵称,2023-04-30 15:58:19,"太适合带孩子去看了

很燃，很稳

年轻人的文戏和演技依旧一言难尽

接下来这句请选择性观看
‘周冬雨为什么戏外霍霍刘昊然，戏里霍霍王一博’

如果你要怼
那就是你说的都对",50,1296
水果娜,2023-05-04 14:26:17,以为会拍的很燃，看完觉得差强人意，感觉被夸大了，文戏太生硬，尤其突然插入感情戏。,20,1223
燕返,2023-05-04 14:25:06,军事题材电影，有笑点有泪点，第一次知道空军试飞员的特殊工种与危险，当张队长带领这帮试飞员来到中国试飞员烈士陵园的场景时，看到有那么多为了战机试飞英雄献出宝贵生命，很难过。特别是张队长在飞机爆炸之前的遗言，真的泪目。战斗机试飞的种种细节紧张刺激，震撼视觉。试飞员真的不愧是尖刀上的舞者，致敬为试飞牺牲英雄和这帮年轻试飞员。,40,369
momo,2023-05-04 14:27:55,不值票价。。真的很一般。。。,10,4519
甜茶LU,2023-04-30 15:58:43,一部电影好看与否是很私人的感受 不需要去争 自己满足了当下的感受就好。真觉得还挺好看的。老张没了我都哭了🥹 金靖戏份少 我还喜欢她的,40,653
颦子吖,2023-04-28 12:59:29,为祖国的歼20而来,50,2998
千千,2023-04-28 14:08:50,以前对国防军事这块不太了解，通过《#长空之王# 》相关介绍，逐渐了解到歼-20的诞生对我国制空权争夺的重大意义！对新一代年轻人来说，歼-20大概就如同精神图腾一般的存在！好牛！！！,50,5008
BetaMan,2023-04-30 09:00:35,不为赢，只是不想再输。,40,564
豆友00A250giTM,2023-04-28 11:35:44,空军题材的电影很吸引人的。演员王一博也是我很看好的新生代演员。,50,5220
白玖,2023-05-04 14:29:09,阴差阳错看的4D，我还想我们苏州物价贵成这样了94一张票，结果是4D厅，太刺激了，开了两小时飞机的感觉，又吹风又喷水，第一次玩超级有趣！！！体验感拉满，票价完全值。好好玩好好玩。第一次到第三次飞的转折很棒。主要是4D太好玩了，开飞机的体感感极佳。,50,672
老虎石,2023-04-28 11:21:34,展示空军实力，j20歼击机,50,5760
江雪同学,2023-05-04 14:24:30,编剧和表演都很程式化，不用浪费时间去看的片子。,20,1370
除草剂,2023-05-01 08:06:36,喜欢这种战斗机 很期待,50,801
音尘,2023-04-30 15:57:29,确实一般，文武都一塌糊涂,10,4416
snh库布里克,2023-04-28 15:00:06,第一时间就去电影院看了。画面不错，周冬雨意外蛮有cp感，情节也比较合理。电影剧情热血!,50,2948
为爱停留,2023-05-04 14:24:58,被营销套路了坐那简直是受罪演技除了胡军其他可以忽略了,10,3997
于家小明明,2023-04-30 08:44:00,说实话 我不是这类电影的受众 但爱人非拉着去看 结果 我俩看到一半就出来了 胡军去世之前还是好看的 后面真的是看不下去,10,3038
aidi_aidi,2023-04-30 08:54:03,适合全家去看，一定要看IMAX版~飞行场面特别震撼，整个故事真实、动人，情节流畅！没有假大空，感觉就是真实的日常。剧情紧凑，笑点很多梗也特别多，不是那种很尬的硬斗包袱，青春有活力，全场笑的哈哈哈的。不是刻意的煽情却是真实的感人，代入感特别强，特别是彩蛋真的特别有意义。整个观影过程就是在已知的剧情走向里惊险刺激不断。王一博就是那个试飞员的角色，在电影里他就是雷宇。角色里那个健壮的体魄一看就是当兵的特别有安全感。我们一起见证了新一代试飞员和飞机的成长。彩蛋非常感人一定看到最后！感谢所有军人守护我们的平安！,40,1634
苍穹ぷ鸢鹞,2023-05-04 13:54:38,7.5/10 歼20好帅，胡军王一博于适也很帅，试飞员们更加无敌的帅气！这个职业需要被大家知道，默默付出，高危中的高危行业，最后真正试飞员的语音出来直接泪奔，还是真实的最让人触动，电影叙事节奏都不错，特效也合格，王一博和周冬雨的感情戏恰到好处，一叶知秋的感觉相信粉丝们也能接受。致敬试飞员们。,40,244
点点,2023-04-28 12:45:59,J20,50,1655
馨儿,2023-04-28 21:57:58,《长空之王》超出预期的好看，又燃又爆，可以说是真正意义上的中国大片。剧情紧凑，节奏流畅，视效音效无敌，尤其试飞环节看得超级过瘾。演员王一博简直是雷宇本宇，完美拿捏角色。整部电影笑中带泪，热血沸腾，不负期待！五一一定要看喔！,50,3046
icerock,2023-05-10 20:50:52,小细节挺好，大框架老套,30,2
噢列佛,2023-04-30 15:57:38,没有什么记忆点、泪点和笑点，故事性还是比较一般的，还有待进步。,20,986
柳州电影爱好者,2023-04-30 08:42:19,一般般 不好看！,20,1101
薄晖💚,2023-04-28 16:52:24,军事题材，第一次知道空军试飞员这一特殊的英雄群体，歼20国之重器，王一博主演！！！,50,2949
喵喵喵,2023-05-04 14:18:33,我觉得挺好看的，剧情虽然简单，但家国情怀总能让人共鸣，向英雄致敬,40,204
bszdwww,2023-04-30 08:59:55,好看！感动！试飞员是什么？是在一次次试飞新飞机极限的过程中发现问题、改进问题的这么一群人。因为飞的是不成熟的飞机，所以风险比普通飞行员更大。很伟大的一群人。两个彩蛋，不要错过。,50,2212
陈皮就是橘子皮,2023-04-30 15:55:24,整体还不错哦！确实是让大家认识了试飞员这样一个群体，剧情算是工整，也很感人，细节都有前后呼应，场面和特效也都不错。不足就是，我觉得完全没必要非得加个爱情戏，纯粹一点不好么？！台词说教的时候有点太生硬，朴实一点不好么？！,40,296
豆友0qaxBMOCtQ,2023-04-28 14:30:51,我的理想是飞行员，我想要为我的理想奋斗。,50,2348
我爱电影,2023-05-10 22:20:02,由于工作比较忙，现在才看，真的没有让我失望，看了长空之王才知道还有试飞员这个职业，我以前以为只要会开飞机就可以开战斗机了，没想到要一架一架试飞以后才可以上前线上战场，真的好敬佩那些背后的无名英雄，谢谢导演让我们看到这么多英雄背后的故事，也谢谢那些主创那些优秀的演员，王一博演技真的一次比一次好，从无名到长空让我看到不一样的王一博，还有谢谢胡军老师指导一博，期待以后还可以再看到你们的合作，,50,4
爱的陪伴199,2023-05-01 10:30:53,大屏幕上欣赏歼—20，同时了解一下试飞员的工作。,50,855
冲浪笨蛋,2023-05-04 14:27:51,好看爱看,40,206
豆友X3TgZed4cs,2023-04-28 14:58:11,我为什么会想要当一名飞行员呢？不是，因为飞行员都长得很帅，而是因为我从小就对飞机情有独钟。我小时候总是当爸爸妈妈看电视的时调到有关飞机的频道，我就想把遥控器抢过来，不让爸爸妈妈调台，只要爸爸妈妈调到不是关于飞机频道的，我就会大闹一场。在上小学的时候，我做过五六次飞机，每一次坐飞机我就异常激动，还有，飞行员的假期是一定天数的，是自由的：哪天有事了，就请个假；如果想爸爸妈妈了，就请一个假……但是如果飞行员把他的假期用完了，就不能再放假了。飞行员还可以飞到全国各地。这次看完长空之王后，更坚定了我想当飞行员的心,50,2519
墨绿森林的小妖,2023-04-30 08:56:31,电影聚焦空军试飞员这个飞翔在蓝天的平民英雄，让普通观众通过电影零距离接触到这群默默无闻的英雄，所有的演员都将每个角色刻画得有血有肉，每一份数据背后都背负着无数个为了国防事业甘愿奉献生命的烈士性命与使命，在CGS中国巨幕厅感受到无数新型战机在长空翱翔的豪情，沉浸式感受到超燃！超酷！我已无法返航，你们继续前行……结尾当那些真实而又平实的声音在影厅里响起时，眼泪情不自禁的流下来，砺剑苍穹，护我长空，感恩有你们护航，致敬试飞英雄！,40,845
QQ,2023-04-28 11:50:23,电影《长空之王》正是聚焦最先进战机诞生背后的故事，将镜头对准空军试飞员这一鲜少出现在聚光灯前的群体。,50,4468
MoviePower Gu,2023-04-30 08:46:22,比较八一厂,20,548
初恋是甜甜的,2023-04-28 14:57:28,感觉很真实！是会发生在现实生活中的那种真实。导演风格挺特别的，合格的商业片，十分出色的类型片！王一博真男人！,50,2231
微信用户,2023-04-28 11:44:15,大飞机谁不看，全家老小都得去,50,3824
学徒三好(✪▽✪),2023-04-28 14:30:19,止不住的眼泪，祖国的大好河山有这些英雄替我们守护，好安心！,50,3361
