1,16,16,0,16,0,20,1,1,1,0,0,16,1,16,20,16,16,16,1,130,1,2,0
1,12,12,0,12,0,15,1,1,1,8,0,12,3,12,16,12,12,12,1,70,1,2,0
1,11,9,0,14,1,14,1,1,1,8,1,12,3,12,14,12,12,11,1,65,1,2,0
1,16,16,0,16,0,20,1,1,1,0,0,10,2,8,16,14,12,14,1,70,1,2,0
1,16,13,2,13,0,8,1,1,1,0,1,10,3,12,17,16,10,9,0,66,1,1,0
0,16,14,0,13,0,14,1,1,1,0,1,9,3,12,16,12,14,16,0,67,1,1,0
1,13,11,0,14,0,18,0,0,0,22,1,12,2,13,20,16,16,15,0,64,1,2,0
1,12,13,0,14,0,15,1,1,1,2,1,10,3,12,13,14,8,16,1,79,1,1,0
1,6,7,0,13,0,20,1,1,1,0,1,16,3,9,20,16,16,16,1,81,4,1,0
1,9,10,6,14,0,16,1,1,1,0,1,11,3,14,12,12,10,15,1,73,1,2,0
1,9,11,0,11,0,13,1,0,0,6,1,10,3,15,12,8,13,11,1,116,1,2,0
0,15,11,0,15,0,16,1,1,1,0,0,10,3,10,17,14,15,16,1,70,1,1,0
1,15,11,0,10,0,13,1,1,1,0,1,14,3,13,15,16,12,13,0,79,1,1,0
1,12,9,1,14,0,10,1,1,1,0,1,14,1,13,18,11,7,12,1,55,1,2,0
0,16,13,0,16,0,20,0,0,1,0,0,10,3,16,16,13,10,16,1,130,1,2,0
1,13,11,0,9,0,14,1,1,1,0,1,7,3,12,14,12,11,14,1,75,1,2,0
0,14,11,0,11,0,19,1,0,0,15,1,11,2,11,14,14,11,11,0,65,4,1,0
0,12,11,0,14,0,16,1,1,1,0,1,13,2,15,19,15,12,10,0,136,1,1,0
1,10,11,0,12,0,15,0,0,0,6,1,10,3,10,19,15,7,11,1,79,4,1,0
0,16,16,0,16,0,20,0,0,0,0,0,16,2,16,20,16,16,16,0,74,1,1,0
0,11,16,0,12,1,10,0,0,0,10,1,9,2,11,11,12,10,13,0,71,1,2,0
